frame,mean_reward
219,21.9
346,12.7
456,11.0
558,10.2
673,11.5
779,10.6
893,11.4
997,10.4
1120,12.3
1217,9.7
1320,10.3
1427,10.7
1520,9.3
1614,9.4
1706,9.2
1803,9.7
1892,8.9
1987,9.5
2089,10.2
2191,10.2
2321,13.0
2437,11.6
2556,11.9
2686,13.0
2825,13.9
2940,11.5
3068,12.8
3219,15.1
3367,14.8
3539,17.2
3726,18.7
3943,21.7
4981,103.8
7492,251.1
9981,248.9
12399,241.8
14579,218.0
17152,257.3
19389,223.7
