frame,mean_reward
217,21.7
365,14.8
481,11.6
601,12.0
707,10.6
808,10.1
915,10.7
1016,10.1
1127,11.1
1245,11.8
1369,12.4
1473,10.4
1586,11.3
1703,11.7
1807,10.4
1909,10.2
2001,9.2
2096,9.5
2223,12.7
2342,11.9
2456,11.4
2603,14.7
2783,18.0
2956,17.3
3116,16.0
3287,17.1
3451,16.4
4187,73.6
6090,190.3
8526,243.6
11216,269.0
13612,239.6
15934,232.2
18249,231.5
