frame,mean_reward
207,20.7
504,29.7
770,26.6
967,19.7
1123,15.6
1290,16.7
1437,14.7
1621,18.4
1763,14.2
1905,14.2
2091,18.6
2199,10.8
2368,16.9
2521,15.3
2669,14.8
2821,15.2
2948,12.7
3069,12.1
3245,17.6
3417,17.2
3575,15.8
3808,23.3
4105,29.7
5199,109.4
6721,152.2
8422,170.1
10163,174.1
12011,184.8
13838,182.7
15537,169.9
17176,163.9
19077,190.1
