frame,mean_reward
214,21.4
362,14.8
487,12.5
617,13.0
726,10.9
838,11.2
938,10.0
1044,10.6
1189,14.5
1299,11.0
1429,13.0
1607,17.8
1762,15.5
1874,11.2
2047,17.3
2169,12.2
2335,16.6
2567,23.2
2908,34.1
3240,33.2
3624,38.4
4060,43.6
4977,91.7
6465,148.8
8402,193.7
10279,187.7
11609,133.0
12892,128.3
14181,128.9
15428,124.7
16672,124.4
17919,124.7
19154,123.5
