frame,mean_reward
215,21.5
587,37.2
815,22.8
1010,19.5
1114,10.4
1220,10.6
1313,9.3
1479,16.6
1632,15.3
1787,15.5
2041,25.4
2225,18.4
2511,28.6
2717,20.6
2877,16.0
3066,18.9
3785,71.9
4971,118.6
7112,214.1
8616,150.4
9722,110.6
11538,181.6
13695,215.7
16188,249.3
19490,330.2
