frame,mean_reward
241,24.1
404,16.3
539,13.5
645,10.6
749,10.4
864,11.5
974,11.0
1073,9.9
1194,12.1
1299,10.5
1410,11.1
1523,11.3
1622,9.9
1721,9.9
1820,9.9
1923,10.3
2022,9.9
2147,12.5
2368,22.1
2598,23.0
2804,20.6
2960,15.6
3202,24.2
3694,49.2
4489,79.5
6370,188.1
8262,189.2
10077,181.5
11708,163.1
13379,167.1
15298,191.9
16898,160.0
18660,176.2
