frame,mean_reward
203,20.3
375,17.2
493,11.8
642,14.9
764,12.2
870,10.6
967,9.7
1075,10.8
1185,11.0
1286,10.1
1382,9.6
1479,9.7
1581,10.2
1677,9.6
1773,9.6
1872,9.9
1966,9.4
2055,8.9
2149,9.4
2242,9.3
2339,9.7
2429,9.0
2519,9.0
2613,9.4
2707,9.4
2807,10.0
2900,9.3
3001,10.1
3097,9.6
3198,10.1
3316,11.8
3454,13.8
3589,13.5
3727,13.8
3863,13.6
4039,17.6
4176,13.7
4344,16.8
4575,23.1
4765,19.0
5051,28.6
5880,82.9
7140,126.0
8150,101.0
9387,123.7
11316,192.9
13945,262.9
16889,294.4
