frame,mean_reward
209,20.9
400,19.1
518,11.8
640,12.2
773,13.3
906,13.3
1036,13.0
1137,10.1
1244,10.7
1360,11.6
1456,9.6
1588,13.2
1686,9.8
1777,9.1
1891,11.4
2000,10.9
2096,9.6
2198,10.2
2292,9.4
2383,9.1
2532,14.9
2635,10.3
2730,9.5
2826,9.6
2974,14.8
3785,81.1
5269,148.4
7598,232.9
9953,235.5
12219,226.6
14713,249.4
17065,235.2
19478,241.3
