frame,mean_reward
290,29.0
471,18.1
656,18.5
822,16.6
942,12.0
1118,17.6
1262,14.4
1367,10.5
1474,10.7
1569,9.5
1666,9.7
1775,10.9
1887,11.2
1988,10.1
2094,10.6
2245,15.1
2393,14.8
2549,15.6
2704,15.5
2919,21.5
3268,34.9
3944,67.6
4784,84.0
5821,103.7
7470,164.9
9132,166.2
10936,180.4
12456,152.0
14011,155.5
15575,156.4
17105,153.0
18694,158.9
