frame,mean_reward
198,19.8
337,13.9
469,13.2
590,12.1
710,12.0
823,11.3
994,17.1
1102,10.8
1234,13.2
1333,9.9
1430,9.7
1545,11.5
1687,14.2
1801,11.4
1900,9.9
1995,9.5
2137,14.2
2278,14.1
2470,19.2
2596,12.6
2736,14.0
2930,19.4
3067,13.7
3624,55.7
5323,169.9
7624,230.1
10521,289.7
13015,249.4
15650,263.5
18323,267.3
